areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
nation,England,E92000001,2022-04-13,17370,18305250,15519,17368429,1851,936821
nation,England,E92000001,2022-04-12,25506,18287880,22552,17352910,2954,934970
nation,England,E92000001,2022-04-11,29841,18262374,26263,17330358,3578,932016
nation,England,E92000001,2022-04-10,25342,18232533,22587,17304095,2755,928438
nation,England,E92000001,2022-04-09,22757,18207191,20271,17281508,2486,925683
nation,England,E92000001,2022-04-08,26992,18184434,23944,17261237,3048,923197
nation,England,E92000001,2022-04-07,31490,18157442,27749,17237293,3741,920149
nation,England,E92000001,2022-04-06,36633,18125952,32371,17209544,4262,916408
nation,England,E92000001,2022-04-05,40168,18089319,35549,17177173,4619,912146
nation,England,E92000001,2022-04-04,44950,18049151,39637,17141624,5313,907527
nation,England,E92000001,2022-04-03,35500,18004201,31644,17101987,3856,902214
nation,England,E92000001,2022-04-02,31534,17968701,28188,17070343,3346,898358
nation,England,E92000001,2022-04-01,40245,17937167,35811,17042155,4434,895012
nation,England,E92000001,2022-03-31,45739,17896922,40573,17006344,5166,890578
nation,England,E92000001,2022-03-30,62637,17851183,55236,16965771,7401,885412
nation,England,E92000001,2022-03-29,67321,17788546,59266,16910535,8055,878011
nation,England,E92000001,2022-03-28,78752,17721225,69089,16851269,9663,869956
nation,England,E92000001,2022-03-27,57945,17642473,51293,16782180,6652,860293
nation,England,E92000001,2022-03-26,51736,17584528,46216,16730887,5520,853641
nation,England,E92000001,2022-03-25,60220,17532792,53521,16684671,6699,848121
nation,England,E92000001,2022-03-24,68505,17472572,60849,16631150,7656,841422
nation,England,E92000001,2022-03-23,77503,17404067,68753,16570301,8750,833766
nation,England,E92000001,2022-03-22,81750,17326564,72464,16501548,9286,825016
nation,England,E92000001,2022-03-21,89838,17244814,79291,16429084,10547,815730
nation,England,E92000001,2022-03-20,66853,17154976,59429,16349793,7424,805183
nation,England,E92000001,2022-03-19,55145,17088123,49520,16290364,5625,797759
nation,England,E92000001,2022-03-18,61842,17032978,55362,16240844,6480,792134
nation,England,E92000001,2022-03-17,67587,16971136,60383,16185482,7204,785654
nation,England,E92000001,2022-03-16,73682,16903549,65786,16125099,7896,778450
nation,England,E92000001,2022-03-15,73912,16829867,66104,16059313,7808,770554
nation,England,E92000001,2022-03-14,79411,16755955,70831,15993209,8580,762746
nation,England,E92000001,2022-03-13,60173,16676544,53909,15922378,6264,754166
nation,England,E92000001,2022-03-12,49074,16616371,44183,15868469,4891,747902
nation,England,E92000001,2022-03-11,52191,16567297,46993,15824286,5198,743011
nation,England,E92000001,2022-03-10,54208,16515106,48690,15777293,5518,737813
nation,England,E92000001,2022-03-09,55395,16460898,49795,15728603,5600,732295
nation,England,E92000001,2022-03-08,52255,16405503,46976,15678808,5279,726695
nation,England,E92000001,2022-03-07,50924,16353248,45493,15631832,5431,721416
nation,England,E92000001,2022-03-06,35869,16302324,32357,15586339,3512,715985
nation,England,E92000001,2022-03-05,28466,16266455,25872,15553982,2594,712473
nation,England,E92000001,2022-03-04,30556,16237989,27666,15528110,2890,709879
nation,England,E92000001,2022-03-03,31484,16207433,28442,15500444,3042,706989
nation,England,E92000001,2022-03-02,33322,16175949,30049,15472002,3273,703947
nation,England,E92000001,2022-03-01,31803,16142627,28934,15441953,2869,700674
nation,England,E92000001,2022-02-28,31817,16110824,28771,15413019,3046,697805
nation,England,E92000001,2022-02-27,22144,16079007,20114,15384248,2030,694759
nation,England,E92000001,2022-02-26,17571,16056863,16095,15364134,1476,692729
nation,England,E92000001,2022-02-25,19497,16039292,17729,15348039,1768,691253
nation,England,E92000001,2022-02-24,21839,16019795,19762,15330310,2077,689485
nation,England,E92000001,2022-02-23,25975,15997956,23588,15310548,2387,687408
nation,England,E92000001,2022-02-22,27948,15971981,25262,15286960,2686,685021
nation,England,E92000001,2022-02-21,32993,15944033,29873,15261698,3120,682335
nation,England,E92000001,2022-02-20,28357,15911040,25849,15231825,2508,679215
nation,England,E92000001,2022-02-19,26424,15882683,24151,15205976,2273,676707
nation,England,E92000001,2022-02-18,24900,15856259,22642,15181825,2258,674434
nation,England,E92000001,2022-02-17,34122,15831359,30911,15159183,3211,672176
nation,England,E92000001,2022-02-16,39391,15797237,35670,15128272,3721,668965
nation,England,E92000001,2022-02-15,40092,15757846,36289,15092602,3803,665244
